"Datum";"Coronatrend";"Bundesland";"BL_ID"
"2020-05-16";25;"Thüringen";16
"2020-05-17";24;"Thüringen";16
"2020-05-18";24;"Thüringen";16
"2020-05-19";22;"Thüringen";16
"2020-05-20";25;"Thüringen";16
"2020-05-21";19;"Thüringen";16
"2020-05-22";17;"Thüringen";16
"2020-05-23";24;"Thüringen";16
"2020-05-24";20;"Thüringen";16
"2020-05-25";22;"Thüringen";16
"2020-05-26";25;"Thüringen";16
"2020-05-27";20;"Thüringen";16
"2020-05-28";20;"Thüringen";16
"2020-05-29";19;"Thüringen";16
"2020-05-30";17;"Thüringen";16
"2020-05-31";17;"Thüringen";16
"2020-06-01";17;"Thüringen";16
"2020-06-02";21;"Thüringen";16
"2020-06-03";18;"Thüringen";16
"2020-06-04";20;"Thüringen";16
"2020-06-05";17;"Thüringen";16
"2020-06-06";14;"Thüringen";16
"2020-06-07";18;"Thüringen";16
"2020-06-08";20;"Thüringen";16
"2020-06-09";21;"Thüringen";16
"2020-06-10";16;"Thüringen";16
"2020-06-11";17;"Thüringen";16
"2020-06-12";20;"Thüringen";16
"2020-06-13";16;"Thüringen";16
"2020-06-14";15;"Thüringen";16
"2020-06-15";19;"Thüringen";16
"2020-06-16";22;"Thüringen";16
"2020-03-01";20;"Schleswig-Holstein";1
"2020-03-02";18;"Schleswig-Holstein";1
"2020-03-03";19;"Schleswig-Holstein";1
"2020-03-04";18;"Schleswig-Holstein";1
"2020-03-05";18;"Schleswig-Holstein";1
"2020-03-06";18;"Schleswig-Holstein";1
"2020-03-07";16;"Schleswig-Holstein";1
"2020-03-08";17;"Schleswig-Holstein";1
"2020-03-09";26;"Schleswig-Holstein";1
"2020-03-10";32;"Schleswig-Holstein";1
"2020-03-11";51;"Schleswig-Holstein";1
"2020-03-12";81;"Schleswig-Holstein";1
"2020-03-13";96;"Schleswig-Holstein";1
"2020-03-14";93;"Schleswig-Holstein";1
"2020-03-15";100;"Schleswig-Holstein";1
"2020-03-16";91;"Schleswig-Holstein";1
"2020-03-17";85;"Schleswig-Holstein";1
"2020-03-18";78;"Schleswig-Holstein";1
"2020-03-19";72;"Schleswig-Holstein";1
"2020-03-20";75;"Schleswig-Holstein";1
"2020-03-21";74;"Schleswig-Holstein";1
"2020-03-22";80;"Schleswig-Holstein";1
"2020-03-23";63;"Schleswig-Holstein";1
"2020-03-24";56;"Schleswig-Holstein";1
"2020-03-25";54;"Schleswig-Holstein";1
"2020-03-26";52;"Schleswig-Holstein";1
"2020-03-27";51;"Schleswig-Holstein";1
